ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
chlorpheniramine maleate,126,51,Treatment of Common cold | Treatment of Dry cough | Treatment of Allergic eye disease | Common cold | Allergic eye disease | Parasitic infections | Treatment of Cough | Cough | Dry cough | Treatment of Bacterial eye infections,Aerodil-DX Syrup Raspberry Sugar Free | Alex Junior Syrup | Alex P Paed Drop | Alex P Syrup | Alex Plus Paediatric Oral Drops,,composition_level_evidence_only,review_required
itraconazole,111,8,Treatment of Fungal infections | Treatment of Fungal skin infections | Skin infections,Afitra 100 Capsule | Afitra 200 Capsule | Afitra Cream | Alcros 100 Capsule | Alcros 200 Capsule,,composition_level_evidence_only,review_required
pioglitazone,111,14,Treatment of Type 2 diabetes mellitus,Adglim MP 2mg/500mg/15mg Tablet | Aim7 60 XR Tablet | Biodib 15 Tablet | Debistal-GM 2 Tablet ER | Dianorm Total 30 Tablet SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
mometasone,110,22,Treatment of Skin conditions with inflammation & itching | Treatment of Melasma | Treatment of Fungal skin infections | Eczema Psoriasis | Treatment and prevention of Sneezing and runny nose due to allergiesTreatment of Nasal congestion (blocked nose)Treatment of Nasal polyps | Treatment of Skin infections | Chronic obstructive pulmonary disease (COPD),Afderm-MN + Cream | Dermitop Lotion | Eberclin-M Cream | Eberjen-M Cream | Ebernet-M Cream,,composition_level_evidence_only,review_required
guaifenesin,106,38,Treatment of Cough with mucus | Cough with mucus | Cough | Acute Sore throatTreatment of Cough with mucus | Chronic obstructive pulmonary disease (COPD) | Treatment of Cough | Dry cough,Advanced LCF Kid Expectorant | Aerodil  Expectorant | Aerodil-LS Expectorant | Alkof Syrup | Ambrodil-LX Drop,,composition_level_evidence_only,review_required
clobetasol,98,36,Treatment of Skin infections | Treatment of EczemaTreatment of Psoriasis | Treatment of Allergic skin conditions | Eczema Psoriasis | Treatment of Bacterial skin infections | Psoriasis | Bacterial skin infections | Skin infections | Treatment of Fungal skin infections | Dermatitis Fungal skin infections,Agiclob NM Cream | Bariderm-S Ointment | Dermikem 4 Cream | Diplomax Lotion | Dipsalic F Ointment,,composition_level_evidence_only,review_required
ofloxacin,98,31,Treatment of Bacterial infections | Treatment of Bacterial & parasitic infections | Bacterial eye infectionsTreatment of Bacterial infections | Treatment of Bacterial & parasitic infectionsTreatment of DiarrheaTreatment of Dysentery | Bacterial eye / ear infectionsTreatment of Bacterial infections | Bacterial infections | Diarrhea Dysentery | Treatment of Skin infections | Treatment of Typhoid feverTreatment of Bacterial infections | Treatment of Urinary tract infections (UTIs),Aflox Eye Drop | Diof  Oral Suspension | Disederm Cream | Exocin Ophthalmic Solution | Flan Eye Ointment,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
progesterone,95,13,Hormone replacement therapyTreatment of Female infertility | Hormone replacement therapy Female infertility,Algest SR 200 Tablet | Algest SR 300 Tablet | Dubagest 400 Soft Gelatin Capsule | Emprogest -SR 300 Tablet | Emprogest 8% Vaginal gel,injection_or_parenteral,composition_level_evidence_only,review_required
etoricoxib,94,12,Pain relief | Treatment of Pain due to muscle spasm | Neuropathic pain | Treatment of Muscle pain,Adcox-P Tablet | Alcoxia-MR Tablet | Ankon 90 Tablet | Arixib 90 Tablet | Asvoxia-P Tablet,,composition_level_evidence_only,review_required
fenofibrate,93,22,Treatment of High cholesterolPrevention of Heart attack | High cholesterol,ATR-F Tablet | Acmerose-F Tablet | Adilip 45 Tablet DR | Advastat F 160mg/10mg Tablet | Arvast F 10 Tablet,,composition_level_evidence_only,review_required
minoxidil,92,20,Treatment of Hair loss | Hair loss | Treatment of Hypertension (high blood pressure),AGA Lotion | Adhair 2% Solution | Am-Exidil 5 Topical Solution | Anasure 5% Solution | Androanagen Solution,chronic_or_specialist_condition,composition_level_evidence_only,review_required
thiocolchicoside,92,24,Treatment of Pain due to muscle spasm | Pain due to muscle spasm | Treatment of Muscular pain | Muscle relaxation,Ace Proxyvon TH 4 Tablet | Aceclan-TH Tablet | Acelera-TH Tablet | Acenac-MR Tablet | Actiflox T 4 Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
teneligliptin,89,3,Treatment of Type 2 diabetes mellitus,Ecoglip-T Tablet | Efiglin-M 500mg/20mg Tablet ER | Eliptin M 500mg/20mg Tablet SR | Eternex-M 1000 Tablet SR | Eternex-M 500 Tablet SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
aspirin,88,27,Heart attack | Treatment of Prevention of heart attack and stroke | Prevention of Heart attack | Prevention of heart attack and stroke | Prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke | Blood clots | Heart attackPrevention of Stroke | Treatment and prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,Arreno Capsule ER | Aspisol 150 Tablet | Aspisol 75 Tablet | Atchol-ASP Capsule | Atorlip Gold 10 Capsule,,composition_level_evidence_only,review_required
clopidogrel,88,15,Heart attack prevention and high cholesterol | Heart attack | Prevention of Heart attack | Prevention of heart attack and stroke | Prevention of heart attack and stroke Heart attack Peripheral vascular disease,Arvast CV 10 Capsule | Astin CV 10 Capsule | Atocor-CV 10 Capsule | Atorec CV 10 Capsule | Atorfit CV 10 Capsule,,composition_level_evidence_only,review_required
carboxymethylcellulose,87,13,Treatment of Dry eyes | Treatment of Allergic eye disease,Add Tears Lubricant Eye Drop | Addwet Eye Drop | Addwet Gel Eye Drop | Aqualube Eye Drop | Aqualube Liquigel,,composition_level_evidence_only,review_required
azithromycin,84,14,Treatment of Bacterial infections | Treatment of Bacterial eye infections | Treatment of AcneTreatment of Bacterial infections | Syndromic treatment of vaginal discharge | Treatment of Syndromic treatment of vaginal discharge,AF Kit Tablet | ATM 100 Oral Suspension | ATM 200 Oral Suspension | ATM 500 Tablet | ATM XL 100mg/5ml Syrup,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
moxifloxacin,84,14,Treatment of Bacterial eye infections | Treatment of Eye infection with inflammation | Treatment of Bacterial infections | Treatment of Bacterial eye infectionsTreatment of Post operative pain,Apdrops DM Eye Drop | Apdrops Eye Drop | Apdrops KT 0.4 Eye Drops BAK Free | Apdrops PD Eye Drop | Bromifax Eye Drop,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
nortriptyline,84,9,Treatment of Neuropathic pain | Depression Bed-wetting Neuropathic pain | Neuropathic pain,Adnurve SR Tablet | Arigaba NT 100 Tablet | Arigaba NT Tablet | Asmygaba-NT Tablet | Axinerve-NP Tablet,,composition_level_evidence_only,review_required
terbinafine,84,13,Fungal skin infections | Fungal infections | Treatment of Fungal skin infections | Treatment of Skin infections | Dermatitis Fungal skin infections,Af-ter Cream | Af-ter Lotion | Disederm Cream | Dphyte Cream | Elmovel TF Gel,,composition_level_evidence_only,review_required
gabapentin,83,18,Treatment of Neuropathic pain | Neuropathic pain | Treatment of Neuropathic painTreatment of Epilepsy/Seizures,Adgaba Gel | Amigaba 300 mg/10 mg Tablet | Arigaba NT 100 Tablet | Arigaba NT Tablet | Arigaba Ointment,chronic_or_specialist_condition,composition_level_evidence_only,review_required
luliconazole,83,5,Treatment of Fungal skin infections | Treatment of Dandruff,Afitra-L Cream | Emluz Cream | Fenza-L Cream | Fungerase-L Cream | Funzi-L Cream,,composition_level_evidence_only,review_required
levetiracetam,79,8,Treatment of Epilepsy/Seizures,Emlevo 500 Tablet | Epilive 250 Tablet | Epilive 500 Tablet | Epilive 750 Tablet | Epilive ER 1000 Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
levosalbutamol,79,28,Treatment of Cough with mucus | Acute Sore throatTreatment of Cough with mucus | Chronic obstructive pulmonary disease (COPD)Treatment of Asthma | Treatment of Chronic obstructive pulmonary disease (COPD) | Asthma | Chronic obstructive pulmonary disease (COPD) | Cough,Aerocort Forte Rotacap | Aerocort Inhaler | Aerodil-LS Expectorant | Ambrodil-LX Drop | Ambrodil-LX Syrup,,composition_level_evidence_only,review_required
lidocaine,78,34,Local anesthesia (Numb tissues in a specific area) | Treatment of Anal fissure | Treatment of Mouth ulcers | Treatment of Piles | Neuropathic pain | Treatment of Ear infection | Treatment of Ear pain | Fungal infections | Inflammation of gums Mouth ulcers Mouth infection | Piles,Adgaba Gel | Anabel Liquid Gel | Anabel-CT Gel | Ano Metrogyl Cream | Anobliss Cream,injection_or_parenteral,composition_level_evidence_only,review_required
atenolol,77,20,Treatment of Hypertension (high blood pressure) | Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack | Prevention of heart attack and stroke,Aginal-AT Tablet | Amcard-AT Tablet | Amchek-AT Tablet | Amdepin-AT Tablet | Amlip AT Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
fexofenadine,77,8,Treatment of Sneezing and runny nose due to allergies | Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions | Asthma | Treatment of Hay feverTreatment of Allergic skin conditionsTreatment of Sneezing and runny nose due to allergies,Afineday Tablet | Air 120 Tablet | Air 180 Tablet | Air-M Tablet | Airkast-FX Tablet,,composition_level_evidence_only,review_required
gliclazide,77,15,Treatment of Type 2 diabetes mellitus,Aim7 60 XR Tablet | Anclazide-M Tablet | Azukon Tablet | Cyblex 60 XR Tablet | Diabend -MR 60 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
salicylic acid,76,37,Eczema Psoriasis | Treatment of EczemaTreatment of Psoriasis | Acne | Psoriasis | Treatment of Psoriasis | Treatment of Dandruff | Warts,Bariderm-S Ointment | Betasalic Ointment | Betnovate-S Ointment | Dersol 12% Ointment | Dersol 18% Ointment,,composition_level_evidence_only,review_required
tretinoin,76,22,Treatment of Acne Acute promyelocytic leukaemia | Treatment of Melasma | Melasma | Hair loss | Treatment of Acne | Treatment of Hair loss,A Ret HC Cream | A-Ret 0.025% Gel | A-Ret 0.05% Gel | A-Ret 0.1% Gel | A-Ret 0.5% Cream,,composition_level_evidence_only,review_required
clotrimazole,75,27,Treatment of Fungal skin infections | Treatment of Skin infections | Syndromic treatment of vaginal discharge | Fungal infections of mouth (Thrush)Treatment of Fungal infections | Fungal infections of vaginaTreatment of Fungal infections | Treatment of Ear infection | Fungal infections | Treatment of Fungal infections | Treatment of Vaginitis,Abzorb Antifungal Soap | Abzorb Syndet Bar | Canazole Cream | Dermicee Cream | Diprolite Cream,,composition_level_evidence_only,review_required
levosulpiride,75,10,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn | Treatment of Gastroesophageal reflux disease (Acid reflux) | Constipation | Treatment of Functional dyspepsiaTreatment of NauseaTreatment of VomitingTreatment of Diabetic gastroparesis (diabetic nerve disease affecting stomach),Acera-L Capsule SR | Ansuper-Plus Capsule SR | Arorab LS Capsule | Bravia-LS Capsule SR | Drego-LS Capsule SR,injection_or_parenteral,composition_level_evidence_only,review_required
losartan,74,16,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke | Treatment of Hypertension (high blood pressure),Alsartan 50 Tablet | Alsartan AM Tablet | Alsartan-H Tablet | Amcard-LP Tablet | Amlokind-L Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
cefpodoxime proxetil,72,13,Treatment of Bacterial infections | Treatment of Respiratory tract infection | Bacterial infections,Bactogard 200mg Tablet | Bactogard-CV 200 Tablet | Doxcef 100mg Tablet DT | Finecef 200mg Tablet DT | Fusoceff CV 200mg/125mg Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
esomeprazole,72,11,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Treatment of Peptic ulcer disease | Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Pain relief,Esmozole DSR Capsule | Esobiz-L Capsule SR | Esofag 40 Tablet | Esofag-D Capsule SR | Esofag-L Capsule SR,,composition_level_evidence_only,review_required
vitamin b6,66,35,Treatment of Nausea and vomiting in pregnancy | Neuropathic pain | Treatment of Nutritional deficiencies | Nutritional deficiencies | Treatment and prevention of Kidney stone | Treatment of Neuropathic pain | Treatment of Liver  disease | Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain | Nausea and vomiting in pregnancy | Nutritional deficiencies Vitamin B12 deficiency,Act Nvp Tablet | Ageless Tablet | Aisa  Tablet | All 9 NVP Tablet | Benalgis Forte Soft Gelatin Capsule,injection_or_parenteral,composition_level_evidence_only,review_required
clindamycin,65,15,Treatment of Acne | Treatment of Bacterial infections | Acne | Syndromic treatment of vaginal discharge,A-CN Gel | Accare Gel | Aclind BP 2.5% Gel | Aclind BP 5% Gel | Aclind Gel,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
vildagliptin,65,5,Treatment of Type 2 diabetes mellitus,Abvida 50mg Tablet | Abvida-M 50mg/1000mg Eazy Glide Tablet | Galvus 50mg Tablet | Galvus Met 50mg/1000mg Tablet | Galvus Met 50mg/500mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
formoterol,64,23,Treatment of Chronic obstructive pulmonary disease (COPD) | Chronic obstructive pulmonary disease (COPD) | General Anaesthesia Peptic ulcer disease,Aerotrop-F Inhaler | Airtec FB 200 Instacap | Airtec FB 400 Instacap | Airz-F Capsule | Airz-FF Capsule,,composition_level_evidence_only,review_required
cilnidipine,63,19,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Arbitel-Trio 25 Tablet ER | Arbitel-Trio 50 Tablet ER | Dilnip-Trio Tablet | Eritel LN 40 Tablet | Eritel LN 80 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
dextromethorphan hydrobromide,62,19,Treatment of Dry cough | Dry cough | Treatment of Cough,Aerodil-DX Syrup Raspberry Sugar Free | Alex Cough Lozenges Lemon Ginger | Alex Cough Lozenges Sugar Free | Alex Junior Syrup | Alex Syrup,,composition_level_evidence_only,review_required
fluticasone propionate,62,22,Treatment of Chronic obstructive pulmonary disease (COPD) | Treatment of Sneezing and runny nose due to allergies | Treatment of Skin conditions with inflammation & itching | Chronic obstructive pulmonary disease (COPD) | Treatment and prevention of Asthma | Treatment of Skin infections | General Anaesthesia Peptic ulcer disease | Severe allergic reactionsTreatment of Skin conditions with inflammation & itching,Airtec SF 250 Instacap | Airtec SF 500 Instacap | Airz-FF Capsule | Avessa 250 Inhaler | Axunil Nasal Spray,,composition_level_evidence_only,review_required
serratiopeptidase,61,14,Pain relief | Pain relief Swelling,Ace-Proxyvon SP Tablet | Aceclo Sera 100mg/325mg/15mg Tablet | Acecloren Tablet | Acemiz-S Tablet | Acenac SP 100mg/325mg/15mg Tablet,,composition_level_evidence_only,review_required
folic acid,60,40,Neuropathic pain | Treatment of Nutritional deficiencies | Nutritional deficiencies | Treatment of Nausea and vomiting in pregnancy | Treatment of Neuropathic pain | Treatment of Liver  disease | Treatment of Female infertility | Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain | Female infertility | Iron deficiency anemia,Benalgis Forte Soft Gelatin Capsule | Dubinor PM Capsule | Eldervit 12 Combipack | Evaserve Tablet | Fine Nerve Soft Gelatin Capsule,injection_or_parenteral,composition_level_evidence_only,review_required
